板块,A股代码,A股简称,A股上市日期,A股总股本,A股流通股本,所属行业
主板,000001,平安银行,1991-04-03,"19,405,918,198","19,405,600,653",J 金融业
主板,000002,万  科Ａ,1991-01-29,"9,724,196,533","9,716,483,304",K 房地产
主板,000004,*ST国华,1990-12-01,"132,380,282","126,287,768",I 信息技术
主板,000006,深振业Ａ,1992-04-27,"1,349,995,046","1,349,987,396",K 房地产
主板,000007,全新好,1992-04-13,"346,448,044","346,448,044",K 房地产
主板,000008,神州高铁,1992-05-07,"2,716,377,683","2,716,296,952",C 制造业
主板,000009,中国宝安,1991-06-25,"2,579,213,965","2,576,020,465",J 金融业
主板,000010,美丽生态,1995-10-27,"1,149,652,292","781,554,111",E 建筑业
主板,000011,深物业A,1992-03-30,"528,373,849","526,475,543",K 房地产
主板,000012,南  玻Ａ,1992-02-28,"1,961,323,047","1,959,316,598",C 制造业
主板,000014,沙河股份,1992-06-02,"242,046,224","242,046,224",K 房地产
主板,000016,深康佳Ａ,1992-03-27,"1,596,593,800","1,596,593,800",C 制造业
主板,000017,深中华A,1992-03-31,"440,821,951","302,984,965",C 制造业
主板,000019,深粮控股,1992-10-12,"1,100,785,974","416,216,407",F 批发零售
主板,000020,深华发Ａ,1992-04-28,"181,165,391","181,165,391",C 制造业
主板,000021,深科技,1994-02-02,"1,571,260,261","1,571,008,936",C 制造业
主板,000025,特  力Ａ,1993-06-21,"392,778,320","392,778,320",F 批发零售
主板,000026,飞亚达,1993-06-03,"365,183,073","364,562,983",F 批发零售
主板,000027,深圳能源,1993-09-03,"4,757,389,916","4,757,352,416",D 水电煤气
主板,000028,国药一致,1993-08-09,"485,213,797","478,053,712",F 批发零售
主板,000029,深深房Ａ,1993-09-15,"891,660,000","891,652,875",K 房地产
主板,000030,富奥股份,1993-09-29,"1,671,991,930","1,670,906,445",C 制造业
主板,000031,大悦城,1993-10-08,"4,286,313,339","4,286,304,701",K 房地产
主板,000032,深桑达Ａ,1993-10-28,"1,137,959,234","1,089,363,764",E 建筑业
主板,000034,神州数码,1994-05-09,"721,880,328","603,131,929",F 批发零售
主板,000035,中国天楹,1994-04-08,"2,500,783,182","2,425,832,661",N 公共环保
主板,000036,华联控股,1994-06-17,"1,403,818,725","1,401,150,983",K 房地产
主板,000037,深南电A,1994-07-01,"338,908,150","338,908,150",D 水电煤气
主板,000039,中集集团,1994-04-08,"2,302,682,490","2,301,407,141",C 制造业
主板,000042,中洲控股,1994-09-21,"664,831,139","664,131,202",K 房地产
主板,000045,深纺织Ａ,1994-08-15,"457,021,849","457,021,849",C 制造业
主板,000048,京基智农,1994-11-01,"530,282,250","526,359,600",A 农林牧渔
主板,000049,德赛电池,1995-03-20,"384,638,534","384,534,862",C 制造业
主板,000050,深天马Ａ,1995-03-15,"2,457,747,661","2,457,716,686",C 制造业
主板,000055,方大集团,1996-04-15,"679,715,472","675,852,229",C 制造业
主板,000056,皇庭国际,1996-07-08,"939,293,208","903,726,533",L 商务服务
主板,000058,深 赛 格,1996-12-26,"984,739,354","984,739,354",L 商务服务
主板,000059,华锦股份,1997-01-30,"1,599,442,537","1,599,442,537",C 制造业
主板,000060,中金岭南,1997-01-23,"3,737,604,184","3,737,547,934",C 制造业
主板,000061,农 产 品,1997-01-10,"1,696,964,131","1,696,933,006",L 商务服务
主板,000062,深圳华强,1997-01-30,"1,045,909,322","1,044,927,241",F 批发零售
主板,000063,中兴通讯,1997-11-18,"4,028,032,353","4,027,360,077",C 制造业
主板,000065,北方国际,1998-06-05,"1,071,385,874","974,962,288",F 批发零售
主板,000066,中国长城,1997-06-26,"3,225,799,088","3,225,589,838",C 制造业
主板,000068,华控赛格,1997-06-11,"1,006,671,464","1,006,671,464",F 批发零售
主板,000069,华侨城Ａ,1997-09-10,"8,037,758,053","6,898,601,781",K 房地产
主板,000070,特发信息,2000-05-11,"900,344,760","888,678,852",C 制造业
主板,000078,海王生物,1998-12-18,"2,631,123,257","2,626,441,138",F 批发零售
主板,000088,盐 田 港,1997-07-28,"5,199,483,346","3,162,894,468",G 运输仓储
主板,000089,深圳机场,1998-04-20,"2,050,769,509","2,050,742,403",G 运输仓储
主板,000090,天健集团,1999-07-21,"1,868,545,434","1,868,459,934",E 建筑业
主板,000096,广聚能源,2000-07-24,"528,000,000","510,848,000",F 批发零售
主板,000099,中信海直,2000-07-31,"775,770,137","775,770,137",G 运输仓储
主板,000100,TCL科技,2004-01-30,"20,800,862,447","18,099,160,925",C 制造业
主板,000151,中成股份,2000-09-06,"337,370,728","307,934,695",F 批发零售
主板,000153,丰原药业,2000-09-20,"464,773,722","452,313,722",C 制造业
主板,000155,川能动力,2000-09-26,"1,846,168,342","1,846,168,342",D 水电煤气
主板,000156,华数传媒,2000-09-06,"1,852,932,442","1,699,865,377",I 信息技术
主板,000157,中联重科,2000-10-12,"7,096,027,688","7,070,417,363",C 制造业
主板,000158,常山北明,2000-07-24,"1,598,616,721","1,587,911,596",I 信息技术
主板,000159,国际实业,2000-09-26,"480,685,993","480,672,868",F 批发零售
主板,000166,申万宏源,2015-01-26,"22,535,944,560","22,535,507,316",J 金融业
主板,000301,东方盛虹,2000-05-29,"6,611,229,487","6,608,554,915",C 制造业
主板,000333,美的集团,2013-09-18,"7,024,739,672","6,922,985,269",C 制造业
主板,000338,潍柴动力,2007-04-30,"6,772,631,296","4,985,166,147",C 制造业
主板,000400,许继电气,1997-04-18,"1,018,749,309","1,011,701,259",C 制造业
主板,000401,冀东水泥,1996-06-14,"2,658,216,390","2,631,353,790",C 制造业
主板,000402,金 融 街,1996-06-26,"2,988,929,907","2,988,653,947",K 房地产
主板,000403,派林生物,1996-06-28,"950,397,386","940,710,132",C 制造业
主板,000404,长虹华意,1996-06-19,"695,995,979","693,751,897",C 制造业
主板,000407,胜利股份,1996-07-03,"880,084,656","875,782,212",D 水电煤气
主板,000408,藏格矿业,1996-06-28,"1,570,225,745","1,570,209,245",C 制造业
主板,000409,云鼎科技,1996-06-27,"677,990,505","423,343,245",I 信息技术
主板,000410,沈阳机床,1996-07-18,"2,358,970,620","1,680,915,944",C 制造业
主板,000411,英特集团,1996-07-16,"521,892,723","322,819,259",F 批发零售
主板,000415,渤海租赁,1996-07-16,"6,184,521,282","5,392,955,733",L 商务服务
主板,000417,合百集团,1996-08-12,"779,884,200","779,027,451",F 批发零售
主板,000419,通程控股,1996-08-16,"543,582,655","543,359,003",F 批发零售
主板,000420,吉林化纤,1996-08-02,"2,458,868,343","2,458,031,143",C 制造业
主板,000421,南京公用,1996-08-06,"574,415,734","574,296,297",D 水电煤气
主板,000422,湖北宜化,1996-08-15,"1,088,522,212","1,057,803,184",C 制造业
主板,000423,东阿阿胶,1996-07-29,"643,976,824","643,018,085",C 制造业
主板,000425,徐工机械,1996-08-28,"11,752,972,482","9,289,149,004",C 制造业
主板,000426,兴业银锡,1996-08-28,"1,775,635,739","1,775,205,464",B 采矿业
主板,000428,华天酒店,1996-08-08,"1,018,926,000","1,018,926,000",H 住宿餐饮
主板,000429,粤高速Ａ,1998-02-20,"1,742,056,126","1,303,329,906",G 运输仓储
主板,000430,ST张家界,1996-08-29,"404,817,686","331,738,800",N 公共环保
主板,000488,ST晨鸣,2000-11-20,"1,706,765,684","1,681,387,372",C 制造业
主板,000498,山东路桥,1997-06-09,"1,552,440,806","1,449,346,561",E 建筑业
主板,000501,武商集团,1992-11-20,"768,992,731","768,155,441",F 批发零售
主板,000503,国新健康,1992-11-30,"981,312,532","979,235,472",I 信息技术
主板,000504,*ST生物,1992-12-08,"330,023,098","329,122,398",M 科研服务
主板,000505,京粮控股,1992-12-21,"661,975,251","632,380,336",C 制造业
主板,000506,招金黄金,1993-03-12,"929,017,761","928,670,961",B 采矿业
主板,000507,珠海港,1993-03-26,"919,734,895","902,354,455",G 运输仓储
主板,000509,华塑控股,1993-05-07,"1,073,128,052","1,073,123,727",C 制造业
主板,000510,新金路,1993-05-07,"648,543,589","606,664,817",C 制造业
主板,000513,丽珠集团,1993-10-28,"604,293,313","584,146,308",C 制造业
主板,000514,渝 开 发,1993-07-12,"843,770,965","843,770,965",K 房地产
主板,000516,国际医学,1993-08-09,"2,238,896,753","2,194,270,615",Q 卫生
主板,000517,荣安地产,1993-08-06,"3,183,922,485","2,491,986,416",K 房地产
主板,000518,*ST四环,1993-09-08,"1,029,556,222","1,029,496,222",C 制造业
主板,000519,中兵红箭,1993-10-08,"1,392,558,982","1,392,558,982",C 制造业
主板,000520,凤凰航运,1993-10-25,"1,012,083,455","1,012,079,705",G 运输仓储
主板,000521,长虹美菱,1993-10-18,"881,733,881","875,579,688",C 制造业
主板,000523,红棉股份,1993-11-08,"1,835,468,461","1,794,818,054",C 制造业
主板,000524,岭南控股,1993-11-18,"670,208,597","669,973,933",L 商务服务
